frame_id,timestamp_ms,c2w_m00,c2w_m01,c2w_m02,c2w_m03,c2w_m10,c2w_m11,c2w_m12,c2w_m13,c2w_m20,c2w_m21,c2w_m22,c2w_m23,c2w_m30,c2w_m31,c2w_m32,c2w_m33,camera_model,camera_fx,camera_fy,camera_cx,camera_cy,camera_radial_k1,camera_radial_k2,camera_radial_k3,camera_radial_k4,camera_radial_k5,camera_radial_k6,camera_tangential_p1,camera_tangential_p2,input_keys,input_actions,input_mouse_buttons,input_mouse_dx,input_mouse_dy
111,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
112,3933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
113,3967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
114,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
115,4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
116,4067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
117,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
118,4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
119,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
120,4233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,1.0,-1.0
121,4267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,1.0,-3.0
122,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,2.0,-7.0
123,4333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,0.0,-5.0
124,4367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,1.0,-5.0
125,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,1.0,-3.0
126,4433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look,,1.0,-1.0
127,4467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
128,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
129,4533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
130,4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
131,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
132,4633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
133,4667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
