frame_id,timestamp_ms,c2w_m00,c2w_m01,c2w_m02,c2w_m03,c2w_m10,c2w_m11,c2w_m12,c2w_m13,c2w_m20,c2w_m21,c2w_m22,c2w_m23,c2w_m30,c2w_m31,c2w_m32,c2w_m33,camera_model,camera_fx,camera_fy,camera_cx,camera_cy,input_keys,input_actions,input_mouse_buttons,input_mouse_dx,input_mouse_dy
140,4667,,,,,,,,,,,,,,,,,,,,,,,,,0,0
141,4700,,,,,,,,,,,,,,,,,,,,,,,,,0,0
142,4733,,,,,,,,,,,,,,,,,,,,,,,,,0,0
143,4767,,,,,,,,,,,,,,,,,,,,,,,,,0,0
144,4800,,,,,,,,,,,,,,,,,,,,,,,,,0,0
145,4833,,,,,,,,,,,,,,,,,,,,,,,,,0,0
146,4867,,,,,,,,,,,,,,,,,,,,,,,,,0,0
147,4900,,,,,,,,,,,,,,,,,,,,,,,,,0,0
148,4933,,,,,,,,,,,,,,,,,,,,,,,,,0,0
149,4967,,,,,,,,,,,,,,,,,,,,,,,,,0,0
150,5000,,,,,,,,,,,,,,,,,,,,,,,,,0,0
151,5033,,,,,,,,,,,,,,,,,,,,,,,,,0,0
152,5067,,,,,,,,,,,,,,,,,,,,,,,,,0,0
153,5100,,,,,,,,,,,,,,,,,,,,,,,,,0,0
154,5133,,,,,,,,,,,,,,,,,,,,,,,,,0,0
155,5167,,,,,,,,,,,,,,,,,,,,,,,,,0,0
156,5200,,,,,,,,,,,,,,,,,,,,,,,,,0,0
157,5233,,,,,,,,,,,,,,,,,,,,,,,,,0,0
158,5267,,,,,,,,,,,,,,,,,,,,,,,,,0,0
159,5300,,,,,,,,,,,,,,,,,,,,,,,,,0,0
160,5333,,,,,,,,,,,,,,,,,,,,,,,,,0,0
161,5367,,,,,,,,,,,,,,,,,,,,,,,,,0,0
162,5400,,,,,,,,,,,,,,,,,,,,,,,,,0,0
163,5433,,,,,,,,,,,,,,,,,,,,,,,,,0,0
164,5467,,,,,,,,,,,,,,,,,,,,,,,,,0,0
165,5500,,,,,,,,,,,,,,,,,,,,,,,,,0,0
166,5533,,,,,,,,,,,,,,,,,,,,,,,,,0,0
167,5567,,,,,,,,,,,,,,,,,,,,,,,,,0,0
168,5600,,,,,,,,,,,,,,,,,,,,,,,,,0,0
169,5633,,,,,,,,,,,,,,,,,,,,,,,,,0,0
170,5667,,,,,,,,,,,,,,,,,,,,,,,,,0,0
171,5700,,,,,,,,,,,,,,,,,,,,,,,,,0,0
172,5733,,,,,,,,,,,,,,,,,,,,,,,,,0,0
173,5767,,,,,,,,,,,,,,,,,,,,,,,,,0,0
174,5800,,,,,,,,,,,,,,,,,,,,,,,,,0,0
175,5833,,,,,,,,,,,,,,,,,,,,,,,,,0,0
176,5867,,,,,,,,,,,,,,,,,,,,,,,,,0,0
177,5900,,,,,,,,,,,,,,,,,,,,,,,,,0,0
178,5933,,,,,,,,,,,,,,,,,,,,,,,,,0,0
179,5967,,,,,,,,,,,,,,,,,,,,,,,,,0,0
180,6000,,,,,,,,,,,,,,,,,,,,,,,,,-2,0
181,6033,,,,,,,,,,,,,,,,,,,,,,,,,-10,-2
182,6067,,,,,,,,,,,,,,,,,,,,,,,,,-1,0
183,6100,,,,,,,,,,,,,,,,,,,,,,,,,1,-2
184,6133,,,,,,,,,,,,,,,,,,,,,,,,,4,-1
185,6167,,,,,,,,,,,,,,,,,,,,,,,,,-5,0
186,6200,,,,,,,,,,,,,,,,,,,,,,,,,0,-13
187,6233,,,,,,,,,,,,,,,,,,,,,,,,,0,0
188,6267,,,,,,,,,,,,,,,,,,,,,,,,,0,0
189,6300,,,,,,,,,,,,,,,,,,,,,,,,,0,0
190,6333,,,,,,,,,,,,,,,,,,,,,,,,,0,0
191,6367,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192,6400,,,,,,,,,,,,,,,,,,,,,,,,,0,0
193,6433,,,,,,,,,,,,,,,,,,,,,,,,,0,0
194,6467,,,,,,,,,,,,,,,,,,,,,,,,,0,0
195,6500,,,,,,,,,,,,,,,,,,,,,,,,,0,0
196,6533,,,,,,,,,,,,,,,,,,,,,,,,,0,0
197,6567,,,,,,,,,,,,,,,,,,,,,,,,,-1,3
198,6600,,,,,,,,,,,,,,,,,,,,,,,,,-3,9
199,6633,,,,,,,,,,,,,,,,,,,,,,,,,29,14
200,6667,,,,,,,,,,,,,,,,,,,,,,,,,40,11
201,6700,,,,,,,,,,,,,,,,,,,,,,,,,53,10
202,6733,,,,,,,,,,,,,,,,,,,,,,,,,89,8
203,6767,,,,,,,,,,,,,,,,,,,,,,,,,75,4
204,6800,,,,,,,,,,,,,,,,,,,,,,,equipment_primary_tool_action,mouse_left,53,2
205,6833,,,,,,,,,,,,,,,,,,,,,,,equipment_primary_tool_action,mouse_left,51,2
206,6867,,,,,,,,,,,,,,,,,,,,,,,equipment_primary_tool_action,mouse_left,0,0
207,6900,,,,,,,,,,,,,,,,,,,,,,,equipment_primary_tool_action,mouse_left,0,0
208,6933,,,,,,,,,,,,,,,,,,,,,,,equipment_primary_tool_action,mouse_left,0,0
